,track_name,track_id,track_popularity,track_number,track_season
345,Artificial Grass,4rWNW1MU4SGIE4tmN2pZm6,0,6,spring
346,Anyway,2KqG4GrxMbeEf1IfDwgSE8,0,9,spring
347,Galaxy,4BFZuak8V5kMxx86reStVg,0,11,spring
348,Dream,3JBnDOUd18QKjDqSYuOfpm,64,1,spring
349,I Love You,3F39QYbMWCEvD2zPAECDG5,46,1,spring
350,Fool,4EIJ8e7f0104nDFFVhWg0x,36,5,spring
351,BEST FRIEND,1AhfmrzSrDmOIstpRO9wTI,57,5,spring
352,illa illa,6oAjIsATA9fZPwMnkcfa6S,38,1,spring
353,Square (2017),13On7DYsJ3IrWxBWuOwM8t,55,8,spring
354,A White Night,21Ov4I4s3dPFAJxd2zAfp7,40,1,spring
355,Telephone,6ksOaijLwaSWTVRtPgakt0,44,4,spring
356,멋지게 인사하는 법 (Hello Tutorial) (Feat. 슬기 (SEULGI) of Red Velvet),36UcoqH2P24RtSGbLKLK3w,54,2,spring
357,Recently,459LljnQrewu7DcOyhpPYg,48,1,spring
358,Officially Missing You,1s2s9sd0DOINkrmufuWST0,50,1,spring
359,YAYAYA,6Gy46si3ZaGvax7REx24Dc,34,1,spring
360,Little Star,5Y9hGEOA9o5xdA8RHt8jKw,0,4,spring
361,I'm In Love (with 정성하),064lcSgMcllMmVlP0oxlJD,3,3,spring
362,You call it romance (feat.Davichi),2lQW8bo5EEqLtwTqsT6Wlm,32,1,spring
363,길어야 5분 That 5 Minutes,2Yi4Zlcqmt3ibLeOoRnVuT,24,1,spring
364,Flower Way (Prod. By ZICO),1dOD5F2hX5TBtKdQlEseR7,51,1,spring
365,Would U,1rL3u6JsjQT9Cxg1oHTJEK,46,1,spring
366,Hopefully Sky,48hyqz1yiZTz4rkyKQzqdF,0,1,spring
367,Through the Night,3P3UA61WRQqwCXaoFOTENd,63,8,spring
368,Love Lane,3OxSOsN5UwdRM36KJPLqHK,36,2,spring
369,Interview,2izPoWJ6xAuZUNJkdXO3YS,34,1,spring
370,스토커 Stalker,2xms6U7ngGDBYJ4RnRTPyz,48,3,spring
371,사랑 좀 하고 싶어 Real Love,107ipu6Vd5OWF5vZZrmzqI,26,1,spring
372,Yeowooya,3d98r5yXtWoVmoYYIaWX5h,44,1,spring
373,You don't know,0sAOiAiIlq3NU7xzM7oaf7,36,3,spring
374,Manito,6swTeMijodi9XzShJL0f2Z,32,5,spring
375,Every End of the Day,5m2tbM2w8mG76uwFgla2iF,48,2,spring
376,Sunday Monday,1dpixaJ9toPeLL2AXm86ox,0,1,spring
377,Thank you,45H0YKiZmzZGE9jiEi7FBq,21,1,spring
378,I think I'm in love,395vU3XBsgKd5iRXT9x94P,28,1,spring
379,Spring Is Gone by chance (Acoustic Ver.),0HuBQaSF9UP7IF78wJQvyx,23,1,spring
